Date,Bouldering time,Yoga Class,Yoga,Bouldering Class,Weight Room,Total time
05/14/2018,1,1,0,0,0,2
05/16/2018,1.25,1,0,0,0,2.25
05/17/2018,0.75,0,0.5,0,0,1.25
05/18/2018,0.75,0,0,0,0,0.75
05/20/2018,1.25,0,0,0,0,1.25
05/21/2018,0.5,1,0,0,0,1.5
05/23/2018,0.75,1,0,0,0,1.75
05/25/2018,1.75,0,0,0,0,1.75
05/27/2018,1.25,0,0,0,0,1.25
05/28/2018,1.25,0,0,1,0,2.25
05/30/2018,1,1,0,0,0,2
05/31/2018,0.75,0,0,0,0.5,1.25
06/01/2018,1.5,0,0,0,0,1.5
06/02/2018,0.75,0,0,0,0,0.75
06/03/2018,1.75,0,0,0,0.75,2.5
06/06/2018,2,0,0,0,0.5,2.5
06/07/2018,1.5,0,0,0,0,1.5
06/09/2018,1.5,0,0,0,0.5,2
06/10/2018,1.5,0,0,0,0,1.5
06/11/2018,1.25,1,0,0,0,2.25
06/13/2018,2.25,0,0,0,0,2.25
06/14/2018,1.25,0,0,0,0,1.25
06/21/2018,1.5,1,0,0,0,2.5
06/24/2018,1,1,0,0,0,2
07/01/2018,2,0,0,0,0,2
07/02/2018,1.75,0,0,0,0,1.75
07/04/2018,1.5,0,0,0,0,1.5
06/25/2018,1,1,0,0,0,2
06/27/2018,0.75,1,0,0,0,1.75
07/10/2018,1.25,0,0,0,0,1.25
07/11/2018,0.75,0,0,1.25,0,2
07/16/2018,0.5,0,0,0,0,0.5
07/23/2018,0,0,0,0,1,1